CAPA,NOME,DESC,AUTOR,NP,EDITORA,ANO,GÊNERO
https://m.media-amazon.com/images/I/31r-UDfkqTL._SY445_SX342_.jpg,Frankenstein,"Um clássico de terror e ficção científica sobre o cientista Victor Frankenstein, que cria um monstro com partes de corpos humanos e é levado a questionar a natureza da criação e da moralidade.",Mary Shelley,280,Grupo Editorial Planeta,2000,Contabilidade
https://m.media-amazon.com/images/I/51IB9lZDrnS._SY445_SX342_.jpg,Harry Potter e a Pedra Filosofal,"O primeiro livro da famosa série de Harry Potter, onde o jovem bruxo descobre que é famoso no mundo mágico e começa sua jornada na escola de magia de Hogwarts.",J.K. Rowling,223,Rocco,2003,Administração
https://m.media-amazon.com/images/I/51+QcGEG7mL._SY445_SX342_.jpg,O Sol é Para Todos,"Ambientado nos anos 1930, o livro conta a história da luta contra o racismo e a injustiça, à medida que o advogado Atticus Finch defende um homem negro acusado injustamente de estuprar uma mulher branca.",Harper Lee,324,DarkSide Books,2005,Informática
https://m.media-amazon.com/images/I/41U51ByfcwL._SY445_SX342_.jpg,O Código Da Vinci,"Um thriller que mistura história, arte e religião, onde o simbologista Robert Langdon desvenda segredos antigos para resolver um assassinato misterioso.",Dan Brown,592,Intrínseca,2007,Joalheria
https://m.media-amazon.com/images/I/51AXbbtEpKL._SY445_SX342_.jpg,O Primo Basílio,Um romance que descreve a traição conjugal e os desdobramentos morais e sociais em torno do adultério no Rio de Janeiro do século XIX.,José de Alencar,384,Ediouro,2010,Contabilidade
https://m.media-amazon.com/images/I/41JnZBcBl6L._SY445_SX342_.jpg,A Guerra dos Tronos,"O primeiro livro da série ""As Crônicas de Gelo e Fogo"", onde várias casas nobres disputam o trono de ferro no continente fictício de Westeros.",George R.R. Martin,720,Editora Saraiva,2012,Informática
https://m.media-amazon.com/images/I/51LhTVNs8XL._SY445_SX342_.jpg,O Hobbit,"A história de Bilbo Bolseiro, um hobbit que se une a um grupo de anões e ao mago Gandalf para recuperar um tesouro guardado por um dragão.",J.R.R. Tolkien,310,Sextante,2015,Joalheria
https://m.media-amazon.com/images/I/41vGjWfZ-+L._SY445_SX342_.jpg,A Cor Púrpura,"Uma narrativa em cartas de uma mulher negra que enfrenta abuso, racismo e opressão, enquanto luta por sua liberdade e autoestima na América do início do século XX.",Alice Walker,296,LeYa,2018,Contabilidade
https://m.media-amazon.com/images/I/51M-mRJpUhL._SY445_SX342_.jpg,Vinte Mil Léguas Submarinas,"Um clássico da ficção científica que segue o professor Pierre Aronnax, seu criado Conseil e um marinheiro chamado Ned Land, que são capturados pelo capitão Nemo a bordo do submarino Nautilus.",Jules Verne,464,Martins Fontes,2020,Administração
https://m.media-amazon.com/images/I/41iOKU3G--L._SY445_SX342_.jpg,Os Miseráveis,"Uma história épica que segue a vida de Jean Valjean, um ex-presidiário que busca redenção, enquanto lida com questões de justiça social na França do século XIX.",Victor Hugo,1400,Aleph,2023,Informática
